motif_id	tf_name	tf_class	tf_family	auc_roc	auc_prc	p_value_roc	p_value_prc	p_value_roc_adj	p_value_prc_adj
THB.H12CORE.3.S.C	THRB	Nuclear receptors with C4 zinc fingers	Thyroid hormone receptor-related	0.5297753859302378	0.5112286321969601	0.0852914708529147	0.27077292270772924	0.6508038669817228	0.9002887729660214
IRF7.H12CORE.0.S.B	IRF7	Tryptophan cluster factors	IRF	0.5293667539127185	0.5369301857772569	0.0897910208979102	0.027597240275972403	0.6626985542651764	0.4105445125590534
DBP.H12CORE.0.SM.B	DBP	Basic leucine zipper factors (bZIP)	C/EBP-related	0.5293347043427161	0.5379023964847558	0.08909109089091091	0.024997500249975	0.662672392554559	0.37969887221804133
ZN823.H12CORE.0.P.C	ZNF823	C2H2 zinc finger factors	More than 3 adjacent zinc fingers	0.5292612574114627	0.5116454401771721	0.08839116088391161	0.24977502249775022	0.662672392554559	0.8776519511169449
FOXA2.H12CORE.1.SM.B	FOXA2	Fork head/winged helix factors	FOX	0.5292599220127104	0.5131033755800031	0.09419058094190581	0.23877612238776122	0.6728564767285647	0.8776519511169449
FOXG1.H12CORE.0.PSM.A	FOXG1	Fork head/winged helix factors	FOX	0.5292238662464577	0.5163134786648786	0.0856914308569143	0.1800819918008199	0.6508038669817228	0.7875943174913278
TEAD1.H12CORE.1.P.C	TEAD1	TEA domain factors	TEF1-related	0.5292145184552086	0.5250601982926353	0.0871912808719128	0.08599140085991401	0.6587278444930376	0.5898340721483407
CTCFL.H12CORE.0.P.B	CTCFL	C2H2 zinc finger factors	More than 3 adjacent zinc fingers	0.5291303883339563	0.5297008216635578	0.09099090090990901	0.05499450054994501	0.6626985542651764	0.5011575765500373
FOXO4.H12CORE.0.SM.B	FOXO4	Fork head/winged helix factors	FOX	0.5290088670476985	0.5154755070083109	0.09049095090490951	0.1982801719828017	0.6626985542651764	0.8221789889976518
ZN584.H12CORE.1.P.C	ZNF584	C2H2 zinc finger factors	More than 3 adjacent zinc fingers	0.5289501095026968	0.5101753031965189	0.0887911208879112	0.2836716328367163	0.662672392554559	0.9065730595082083
ZN410.H12CORE.0.SM.B	ZNF410	C2H2 zinc finger factors	More than 3 adjacent zinc fingers	0.5288205758239372	0.5161164222214033	0.09619038096190381	0.18868113188681132	0.6758639925481136	0.7961019687504933
GMEB1.H12CORE.2.SM.B	GMEB1	SAND domain factors	GMEB	0.5287377811014345	0.5503542927210897	0.09359064093590641	0.0045995400459954	0.671896989405537	0.25116377251163774
FOXM1.H12CORE.0.P.B	FOXM1	Fork head/winged helix factors	FOX	0.5286923775439337	0.5192301060706842	0.09019098090190981	0.14728527147285272	0.6626985542651764	0.718015698430157
CTCF.H12CORE.0.P.B	CTCF	C2H2 zinc finger factors	More than 3 adjacent zinc fingers	0.5285561668714294	0.5266063434198395	0.09579042095790422	0.07639236076392361	0.6758639925481136	0.5595643481337146
ZN383.H12CORE.0.P.C	ZNF383	C2H2 zinc finger factors	More than 3 adjacent zinc fingers	0.5285534960739285	0.5320142367772971	0.096990300969903	0.0463953604639536	0.6758639925481136	0.480951904809519
ZNF34.H12CORE.0.P.C	ZNF34	C2H2 zinc finger factors	More than 3 adjacent zinc fingers	0.5282530313551617	0.5075710641618721	0.0978902109789021	0.32686731326867313	0.6758639925481136	0.9301874930617173
