# Expression Atlas			
# Query: Genes matching: 'default query', specifically up/down differentially expressed in 1 comparisons  given the adjusted p-value cutoff 1 and log2-fold change cutoff 0 in experiment E-GEOD-48230			
# Timestamp: Fri, 22-Oct-2021 07:16:49			
geneName	Gene Name	log2FoldChange	padj
ENSG00000014641	MDH1	0.1	0.51324212100102
ENSG00000014824	SLC30A9	-0.1	0.63088330375983
ENSG00000014914	MTMR11	-0.2	0.610885258385742
ENSG00000014919	COX15	-0.1	0.731384733686557
ENSG00000015133	CCDC88C	0.4	0.078725125336417
ENSG00000015285	WAS	-0.1	0.953474772484349
ENSG00000015475	BID	0.5	0.078001861930328
ENSG00000015479	MATR3	-0.1	0.781188118604232
ENSG00000015532	XYLT2	0.1	0.785171718446055
ENSG00000015676	NUDCD3	0.1	0.698777034539633
ENSG00000016082	ISL1	-0.3	0.564519298210573
ENSG00000016402	IL20RA	0.7	0.012366737955944
ENSG00000016864	GLT8D1	-0.1	0.838989883967224
ENSG00000017260	ATP2C1	0.2	0.221908917136235
ENSG00000017797	RALBP1	0.2	0.501989535750408
ENSG00000018189	RUFY3	0.2	0.619527951249039
ENSG00000018236	CNTN1	-0.5	0.032375716912485
ENSG00000018280	SLC11A1	-0.2	0.760021680091937
ENSG00000018510	AGPS	0.1	0.708237268098621
ENSG00000018625	ATP1A2	0.5	0.157577639316927
ENSG00000018699	TTC27	0.4	0.095443539205746
ENSG00000019102	VSIG2	-0.5	0.313028888695382
ENSG00000019144	PHLDB1	-0.2	0.422133637560823
ENSG00000019169	MARCO	0.9	0.012973368197756
ENSG00000019186	CYP24A1	-0.1	0.878548406422802
ENSG00000019485	PRDM11	-0.2	0.455957194266197
ENSG00000019549	SNAI2	-1.1	0.000120496765313
ENSG00000019582	CD74	0.1	0.786485981239215
ENSG00000019991	HGF	-0.2	0.737569322630636
ENSG00000019995	ZRANB1	-0.1	0.791855981510495
ENSG00000020129	NCDN	-0.1	0.754406218192985
ENSG00000020181	ADGRA2	0.3	0.521267909891798
ENSG00000020256	ZFP64	0.3	0.184026024741132
ENSG00000020426	MNAT1	0.2	0.419072715949736
ENSG00000020577	SAMD4A	0.5	0.098194677229384
ENSG00000020922	MRE11	0.2	0.444639982332345
ENSG00000021300	PLEKHB1	-1	4.26064182802449E-05
ENSG00000021355	SERPINB1	0.2	0.563812901735938
ENSG00000021574	SPAST	-0.2	0.531742902500769
ENSG00000021645	NRXN3	0.5	0.250011824195463
ENSG00000021762	OSBPL5	0.3	0.18195292362057
ENSG00000022267	FHL1	0.1	0.890617923405754
ENSG00000022567	SLC45A4	0.1	0.763524242713634
ENSG00000022840	RNF10	-0.1	0.83716779379339
ENSG00000023041	ZDHHC6	-0.2	0.598135046984655
ENSG00000023171	GRAMD1B	-0.8	4.08382687916922E-08
ENSG00000023191	RNH1	0.1	0.463350590896475
ENSG00000023318	ERP44	0.1	0.901136908232695
ENSG00000023330	ALAS1	0.1	0.761662956321743
ENSG00000023445	BIRC3	0.6	0.094983027564047
ENSG00000023572	GLRX2	-0.1	0.716968283410607
ENSG00000023608	SNAPC1	0.5	0.107026228439196
ENSG00000023697	DERA	0.1	0.884213029527437
ENSG00000023734	STRAP	0.1	0.635357564032463
ENSG00000023839	ABCC2	-0.3	0.533833317375009
ENSG00000023892	DEF6	0.2	0.600241811779519
ENSG00000023902	PLEKHO1	-0.1	0.805832416238235
ENSG00000023909	GCLM	-0.3	0.449202459103054
ENSG00000024048	UBR2	-0.1	0.57461707761932
ENSG00000024422	EHD2	-0.8	0.042257304219914
ENSG00000025039	RRAGD	0.4	0.374953793834752
ENSG00000025156	HSF2	0.1	0.830779266606405
ENSG00000025434	NR1H3	0.2	0.651245855209715
ENSG00000025708	TYMP	-0.1	0.93469015170118
