id,log2FoldChange,padj
ENSG00000019485,-0.2,0.455957194
ENSG00000019549,-1.1,0.000120497
ENSG00000019582,0.1,0.786485981
ENSG00000019991,-0.2,0.737569323
ENSG00000019995,-0.1,0.791855982
ENSG00000020129,-0.1,0.754406218
ENSG00000020181,0.3,0.52126791
ENSG00000020256,0.3,0.184026025
ENSG00000020426,0.2,0.419072716
ENSG00000020577,0.5,0.098194677
ENSG00000020922,0.2,0.444639982
ENSG00000021300,-1,4.26E-05
ENSG00000021355,0.2,0.563812902
ENSG00000021574,-0.2,0.531742903
ENSG00000021645,0.5,0.250011824
ENSG00000021762,0.3,0.181952924
ENSG00000022267,0.1,0.890617923
ENSG00000022567,0.1,0.763524243
ENSG00000022840,-0.1,0.837167794
ENSG00000023041,-0.2,0.598135047
ENSG00000023171,-0.8,4.08E-08
ENSG00000023191,0.1,0.463350591
ENSG00000023318,0.1,0.901136908
ENSG00000023330,0.1,0.761662956
ENSG00000023445,0.6,0.094983028
ENSG00000023572,-0.1,0.716968283
ENSG00000023608,0.5,0.107026228
ENSG00000023697,0.1,0.88421303
ENSG00000023734,0.1,0.635357564
ENSG00000023839,-0.3,0.533833317
ENSG00000023892,0.2,0.600241812
ENSG00000023902,-0.1,0.805832416
ENSG00000023909,-0.3,0.449202459
ENSG00000024048,-0.1,0.574617078
ENSG00000024422,-0.8,0.042257304
ENSG00000025039,0.4,0.374953794
ENSG00000025156,0.1,0.830779267
ENSG00000025434,0.2,0.651245855
ENSG00000025708,-0.1,0.934690152
ENSG00000025770,0.2,0.359708514
ENSG00000025772,-0.2,0.335220175
ENSG00000025796,0.1,0.691915826
ENSG00000025800,0.1,0.782633648
ENSG00000026025,-0.4,0.232678457
ENSG00000026036,0.1,0.859329966
ENSG00000026103,0.6,0.012148514
ENSG00000026297,0.3,0.223749917
ENSG00000026508,0.2,0.319028027
ENSG00000026559,0.3,0.232445654
ENSG00000026652,0.3,0.211949903
ENSG00000026950,0.1,0.855411649
ENSG00000027697,-0.2,0.577945151
ENSG00000027847,0.1,0.73999192
ENSG00000027869,-0.4,0.105430446
ENSG00000028137,0.5,0.232445654
ENSG00000028203,-0.1,0.513919143
ENSG00000028277,-0.1,0.836291924
ENSG00000028310,0.1,0.666609862
ENSG00000028528,-0.2,0.454869453
ENSG00000028839,0.1,0.67847571
ENSG00000029153,-0.2,0.394295859
ENSG00000029639,0.3,0.183614876
ENSG00000029725,0.1,0.79343914
ENSG00000029993,0.1,0.889642387
ENSG00000030066,0.2,0.480185148
ENSG00000030110,-0.3,0.230356688
ENSG00000030304,0.3,0.620253249
ENSG00000030419,-0.8,0.001218821
ENSG00000030582,-0.3,0.107121469
ENSG00000031003,-0.6,0.022129956
ENSG00000031081,-0.4,0.251322173
ENSG00000031691,0.2,0.369335496
ENSG00000031698,0.1,0.711001108
ENSG00000032219,-0.1,0.889792686
ENSG00000032444,-0.1,0.765140944
ENSG00000032742,-0.4,0.09328686
ENSG00000033011,-0.1,0.82448372
ENSG00000033030,0.1,0.780437415
ENSG00000033100,-0.4,0.119654419
ENSG00000033122,-0.2,0.823872905
ENSG00000033170,0.1,0.858909073
ENSG00000033178,0.1,0.876918977
ENSG00000033327,0.1,0.70977055
ENSG00000033867,-0.1,0.799853175
ENSG00000034152,0.2,0.232445654
ENSG00000034239,-0.4,0.410227827
ENSG00000034510,-0.3,0.202235517
ENSG00000034677,-0.3,0.158330698
ENSG00000034693,0.1,0.727502484
ENSG00000034713,-0.1,0.801742476
ENSG00000035115,0.8,0.016207497
ENSG00000035141,0.1,0.873513681
ENSG00000035499,0.2,0.46572671
ENSG00000035664,-0.4,0.513260208
ENSG00000035681,0.2,0.399587524
ENSG00000035687,0.2,0.238613428
ENSG00000036257,0.1,0.767868153
ENSG00000036530,-0.3,0.606158203
ENSG00000036672,0.4,0.378140443
ENSG00000037042,0.2,0.496112493
ENSG00000037474,0.1,0.706686797
ENSG00000037637,-0.2,0.50101996
ENSG00000037749,-0.2,0.330949983
ENSG00000037757,0.1,0.896031461
ENSG00000037965,0.6,0.043661774
ENSG00000038002,-0.5,0.03084359
ENSG00000038210,0.3,0.179050127
ENSG00000038274,-0.3,0.106880076
ENSG00000038295,-0.1,0.942812587
ENSG00000038382,0.1,0.838146228
ENSG00000038427,-0.4,0.401169902
ENSG00000039068,1.3,4.52E-05
ENSG00000039123,0.2,0.353043084
ENSG00000039319,-0.2,0.565152407
ENSG00000039523,0.1,0.838836761
ENSG00000039560,-0.1,0.785285597
ENSG00000039600,-0.5,0.232521261
ENSG00000039650,0.2,0.426594786
ENSG00000040199,-0.1,0.887380754
ENSG00000040275,-0.1,0.736343121
ENSG00000040341,-0.2,0.335474472
ENSG00000040531,-0.1,0.799930466
ENSG00000040608,0.7,0.016825172
ENSG00000040633,-0.2,0.648000325
ENSG00000040933,0.2,0.341777321
ENSG00000041353,0.1,0.895736026
ENSG00000041515,-0.7,0.084783653
ENSG00000041802,-0.1,0.891273415
ENSG00000041880,-0.3,0.106661749
ENSG00000041982,-0.3,0.16252971
ENSG00000041988,0.1,0.767868153
ENSG00000042088,0.2,0.192696042
ENSG00000042286,-0.1,0.770320517
ENSG00000042317,-0.3,0.219864284
ENSG00000042429,-0.2,0.721796102
ENSG00000042445,-0.2,0.561692078
ENSG00000042493,0.2,0.733490781
