motif_id	tf_name	tf_class	tf_family	jaspar_cluster	auc_roc	auc_prc	p_value_roc	p_value_prc	p_value_roc_adj	p_value_prc_adj
MA1813.2	EIL4	EIL	NA	cluster_46	0.5129125412541257	0.5340595138794415	0.24575424575424576	0.04495504495504495	0.6499904205383656	0.3649010563904181
MA0559.1	PI	MADS box factors	MIKC	cluster_23	0.5128658589543169	0.5077934735388832	0.25774225774225773	0.32667332667332666	0.6533466533466533	0.7101189408881716
MA2442.1	SPL3B	C3H(C),C2HC zinc-fingers like factors	SBP	cluster_38	0.5128560882404017	0.5141494031436737	0.24275724275724275	0.1878121878121878	0.6499904205383656	0.608560794044665
MA0965.3	BIM2	Basic helix-loop-helix factors (bHLH)	bHLH	cluster_07	0.5128311186381797	0.5528225913548401	0.24375624375624375	0.4805194805194805	0.6499904205383656	0.781699151911918
MA2451.1	SPL7B	C3H(C),C2HC zinc-fingers like factors	SBP	cluster_38	0.5127790081639749	0.5150160606533803	0.24775224775224775	0.17082917082917082	0.6499904205383656	0.598652489063448
MA2360.1	PK28565.1	Tryptophan cluster factors	MYB	cluster_11	0.5127703230849401	0.5028847271880897	0.22577422577422576	0.4905094905094905	0.6356669161097205	0.7826268381823938
MA1196.2	AT5G05790	Tryptophan cluster factors	MYB-related	cluster_05	0.512578165711307	0.5113638421399992	0.23576423576423577	0.21478521478521478	0.6499904205383656	0.6238956772764602
MA2405.1	OsMSL08	Tryptophan cluster factors	Trihelix	cluster_10	0.5125640524578775	0.6443491442578466	0.21978021978021978	0.14985014985014986	0.6257175660160734	0.5802108339421772
MA0992.3	ERF4	AP2/EREBP	ERF/DREB	cluster_24	0.5123360691332296	0.5116759827207007	0.2647352647352647	0.2547452547452547	0.6622721540754327	0.6364315296354132
MA1816.2	O11	Basic helix-loop-helix factors (bHLH)	bHLH	cluster_07	0.5121927653291646	0.5558003693585876	0.23576423576423577	0.3786213786213786	0.6499904205383656	0.7390811719925644
MA2033.2	NAC038	GCM domain factors	NAC	cluster_16	0.5121808233454926	0.5096731271457638	0.2547452547452547	0.25774225774225773	0.6522504341296287	0.6364315296354132
MA2022.2	LOB	Other C4 zinc finger-type factors	LBD	cluster_24	0.5120570609692557	0.5237875806433353	0.24575424575424576	0.07192807192807193	0.6499904205383656	0.44129554655870445
MA2412.1	ZmbZIP72	Basic leucine zipper factors (bZIP)	S	cluster_14	0.5120462046204625	0.4943223191109262	0.24775224775224775	0.6643356643356644	0.6499904205383656	0.8473543123543124
MA1299.2	WRKY17	GCM domain factors	WRKY	cluster_10	0.5120212350182388	0.5080135991757918	0.2647352647352647	0.3126873126873127	0.6622721540754327	0.6976035660246187
MA2348.1	IDD6	C2H2 zinc finger factors	IDD	cluster_08	0.5119962654160158	0.5073607183099353	0.26573426573426573	0.31868131868131866	0.6625988390694273	0.70479375696767
MA0966.2	BIM3	Basic helix-loop-helix factors (bHLH)	bHLH	cluster_07	0.5119886659718604	0.5554490186204468	0.24075924075924077	0.3826173826173826	0.6499904205383656	0.7390811719925644
MA1338.3	DPBF3	Basic leucine zipper factors (bZIP)	Group A	cluster_07	0.5118290776446068	0.49583498600731957	0.2547452547452547	0.6053946053946054	0.6522504341296287	0.8219147400642063
MA1199.1	AGL16	MADS box factors	MIKC	cluster_23	0.5117715389960047	0.5138532448159349	0.27372627372627373	0.1978021978021978	0.6678654678654677	0.608560794044665
MA2363.1	TOE2	AP2/EREBP	AP2	cluster_36	0.5117454837589023	0.515555210690866	0.2547452547452547	0.1938061938061938	0.6522504341296287	0.608560794044665
MA1370.2	IDD5	C2H2 zinc finger factors	IDD	cluster_08	0.5117129147125247	0.5131318292617518	0.27172827172827174	0.1978021978021978	0.6666516762979786	0.608560794044665
MA1787.2	NAC047	GCM domain factors	NAC	cluster_20	0.511673831856871	0.5033490298593115	0.2857142857142857	0.4275724275724276	0.6713286713286715	0.7569321629646455
MA1819.2	Zm00001d005892	AP2/EREBP	ERF/DREB	cluster_24	0.511499044641306	0.5190436511847341	0.24675324675324675	0.18081918081918083	0.6499904205383656	0.6077754844274669
MA2066.1	PK09021.1	Basic leucine zipper factors (bZIP)	Group D	cluster_14	0.5114425916275839	0.5021905009347607	0.2707292707292707	0.5214785214785215	0.6663433340852696	0.7909729159729159
MA2046.2	NAC035	GCM domain factors	NAC	cluster_20	0.5113329425047768	0.524643332337042	0.25774225774225773	0.08691308691308691	0.6533466533466533	0.47311309380274896
MA1340.2	BZIP3	Basic leucine zipper factors (bZIP)	Group S	cluster_14	0.5112569480632283	0.5159633675942507	0.27472527472527475	0.16683316683316685	0.6678654678654677	0.598652489063448
MA1025.2	HBI1	Basic helix-loop-helix factors (bHLH)	bHLH	cluster_07	0.5112460917144346	0.5216518381736387	0.25874125874125875	0.2727272727272727	0.6537072199323856	0.6523225990310629
MA2007.2	MYB107	Tryptophan cluster factors	MYB	cluster_02	0.5111852961611951	0.5265364459734512	0.2777222777222777	0.16883116883116883	0.6705762591838541	0.598652489063448
MA0948.2	ARR18	Tryptophan cluster factors	GARP_ARR-B	cluster_13	0.5111766110821611	0.539526051716458	0.24075924075924077	0.052947052947052944	0.6499904205383656	0.39926739926739924
MA2423.1	OsbZIP69	Basic leucine zipper factors (bZIP)	Group A	cluster_14	0.5111071304498874	0.5188451854611195	0.24875124875124874	0.11788211788211789	0.6499904205383656	0.5290826820238586
MA1333.2	BEH3	Basic helix-loop-helix factors (bHLH)	BES/BZR	cluster_07	0.5110843321174223	0.49751482504949446	0.2867132867132867	0.5864135864135864	0.6713286713286715	0.8087657405431193
MA1793.2	NID1	Tryptophan cluster factors	MYB-related	cluster_05	0.5109909675178045	0.638170741547438	0.23776223776223776	0.21978021978021978	0.6499904205383656	0.6238956772764602
MA0570.3	ABF1	Basic leucine zipper factors (bZIP)	Group A	cluster_07	0.5109518846621494	0.4985316157262906	0.2517482517482518	0.5504495504495505	0.6511319189285292	0.8056289061981662
MA0082.2	squamosa	MADS box factors	Type II	cluster_23	0.5109475421226329	0.5006541832426569	0.26673326673326675	0.4775224775224775	0.6629233958224188	0.781699151911918
MA1786.2	NAC019	GCM domain factors	NAC	cluster_20	0.5109095449018586	0.5129347886937028	0.2807192807192807	0.3836163836163836	0.6713286713286715	0.7391396482305573
MA1372.2	ZAT10	C2H2 zinc finger factors	C2H2	cluster_35	0.5108237797463969	0.5088631921961568	0.2757242757242757	0.3206793206793207	0.6678654678654677	0.7051248463352211
MA1332.2	BEH2	Basic helix-loop-helix factors (bHLH)	BES/BZR	cluster_07	0.5107282438770194	0.4995787629994141	0.2937062937062937	0.5424575424575424	0.6732339516770655	0.8056289061981662
MA1195.2	AT5G56840	Tryptophan cluster factors	MYB-related	cluster_05	0.5106348792774018	0.4924763040285087	0.2887112887112887	0.6933066933066933	0.671605833191199	0.8629575970522135
MA2103.1	AT4G09450	Tryptophan cluster factors	MYB-related	cluster_05	0.5105360865033872	0.6382588181485195	0.2707292707292707	0.25374625374625376	0.6663433340852696	0.6364315296354132
MA2392.1	GRMZM2G135447	Homeo domain factors	TALE-type HD	cluster_14	0.5105306583289908	0.5280476103526179	0.2757242757242757	0.1038961038961039	0.6678654678654677	0.49404299404299407
MA1232.2	ERF054	AP2/EREBP	ERF/DREB	cluster_15	0.510515459440681	0.514114245973716	0.2977022977022977	0.23276723276723277	0.6760323010323012	0.6258373205741626
MA1085.3	WRKY40	GCM domain factors	WRKY	cluster_10	0.5104666058711135	0.6716489353460064	0.24875124875124874	0.2217782217782218	0.6499904205383656	0.6238956772764602
MA1074.2	UNE10	Basic helix-loop-helix factors (bHLH)	bHLH	cluster_07	0.510241879451103	0.5218322006291862	0.31368631368631367	0.2807192807192807	0.6879796421343699	0.6610765777432444
MA2453.1	SPL8B	C3H(C),C2HC zinc-fingers like factors	SBP	cluster_33	0.5102006253256901	0.505500803690738	0.2837162837162837	0.3516483516483517	0.6713286713286715	0.7273104254236331
MA0963.1	bHLH78	Basic helix-loop-helix factors (bHLH)	bHLH	cluster_07	0.51017131318395	0.4973867094392272	0.25574425574425574	0.5034965034965035	0.6526182847253081	0.7872291642783448
MA1051.1	RAP2-3	AP2/EREBP	ERF/DREB	cluster_24	0.5101626281049162	0.5218841849905212	0.2947052947052947	0.07692307692307693	0.6732339516770655	0.44129554655870445
MA1686.1	ARF13	B3	ARF	cluster_01	0.510161542470036	0.4998484462697772	0.28771228771228774	0.4985014985014985	0.6713286713286715	0.7826268381823938
MA0977.1	DOF2.5	Other C4 zinc finger-type factors	DOF	cluster_03	0.5101593712002781	0.5472100855295244	0.31868131868131866	0.37362637362637363	0.690777972027972	0.7390811719925644
MA1167.2	EFM	Tryptophan cluster factors	GARP_G2-like	cluster_04	0.5100920618377633	0.5130707284687679	0.27972027972027974	0.2677322677322677	0.6711527466244448	0.646454811011773
MA0960.1	BHLH104	Basic helix-loop-helix factors (bHLH)	bHLH	cluster_07	0.5099596143824913	0.49790348951650365	0.26373626373626374	0.5314685314685315	0.6622721540754327	0.7998234507110246
MA0556.2	AP3	MADS box factors	Type II	cluster_23	0.5098955619246138	0.49524603755903296	0.3076923076923077	0.6433566433566433	0.6844583987441131	0.8404159942621482
MA1186.2	YAB4	Tryptophan cluster factors	MYB-related	cluster_05	0.509889048115338	0.5113304019141099	0.2827172827172827	0.2177822177822178	0.6713286713286715	0.6238956772764602
MA1234.2	ERF017	AP2/EREBP	ERF/DREB	cluster_15	0.5098119680389092	0.5063743608613435	0.2997002997002997	0.3946053946053946	0.678549936710174	0.7400904180565196
MA1175.2	MYB81	Tryptophan cluster factors	MYB	cluster_11	0.5097424874066357	0.5026079259636966	0.3026973026973027	0.5394605394605395	0.6812921591682654	0.8056289061981662
MA1263.2	ERF055	AP2/EREBP	ERF/DREB	cluster_15	0.5097164321695333	0.5091431636156405	0.3146853146853147	0.25774225774225773	0.6879796421343699	0.6364315296354132
MA1416.1	RAMOSA1	C2H2 zinc finger factors	C2H2	cluster_21	0.5097088327253779	0.5087666996050673	0.30569430569430567	0.3546453546453546	0.6840022147940036	0.7274043161139936
MA0971.2	DREB1A	AP2/EREBP	ERF/DREB	cluster_15	0.5094504516241102	0.5024470805008691	0.2917082917082917	0.4835164835164835	0.6724272706145817	0.7826268381823938
MA1182.2	RVE8	Tryptophan cluster factors	MYB-related	cluster_13	0.5094450234497135	0.524523710482291	0.27972027972027974	0.23776223776223776	0.6711527466244448	0.6299048174048174
MA1353.2	AT1G72740	Tryptophan cluster factors	MYB-related	cluster_02	0.5093560013896127	0.5172341323506762	0.3046953046953047	0.17182817182817184	0.6837721102426985	0.598652489063448
MA1189.2	AT5G61620	Tryptophan cluster factors	MYB-related	cluster_05	0.509326689247872	0.49934599821147274	0.3086913086913087	0.5214785214785215	0.6846845015449666	0.7909729159729159
MA1671.2	ERF118	AP2/EREBP	ERF/DREB	cluster_24	0.5092919489317356	0.5239934554619137	0.3026973026973027	0.06893106893106893	0.6812921591682654	0.44129554655870445
MA1292.2	MYB27	Tryptophan cluster factors	MYB	cluster_02	0.5092582942504779	0.5174060164646563	0.2977022977022977	0.14185814185814186	0.6760323010323012	0.5696724328303276
MA0565.3	FUS3	B3	LAV	cluster_29	0.5092528660760812	0.5696837573385332	0.3076923076923077	0.18081918081918083	0.6844583987441131	0.6077754844274669
MA1768.2	MYB30	Tryptophan cluster factors	MYB	cluster_02	0.5092311533784956	0.5130188699991297	0.2827172827172827	0.21078921078921078	0.6713286713286715	0.6238956772764602
MA1158.2	MGP	C2H2 zinc finger factors	IDD	cluster_08	0.5092300677436178	0.5067876418690063	0.2907092907092907	0.33466533466533466	0.672155117609663	0.7142063416036019
MA2413.1	ZmbZIP96	Basic leucine zipper factors (bZIP)	D	cluster_07	0.5091855567135658	0.5008100776490483	0.2857142857142857	0.4755244755244755	0.6713286713286715	0.781699151911918
MA2024.2	MYB63	Tryptophan cluster factors	MYB	cluster_02	0.5090921921139493	0.5032908435521904	0.2947052947052947	0.4085914085914086	0.6732339516770655	0.7458259443905376
MA0567.1	ERF1B	AP2/EREBP	ERF/DREB	cluster_24	0.509043338544381	0.5154369158598862	0.3306693306693307	0.2047952047952048	0.7008352758352758	0.6151918947194538
MA1331.2	BEH4	Basic helix-loop-helix factors (bHLH)	BES/BZR	cluster_07	0.5090248827514331	0.4953445941476473	0.3276723276723277	0.6443556443556444	0.698363089424542	0.8404159942621482
MA1670.2	DREB1C	AP2/EREBP	ERF/DREB	cluster_15	0.5089792860865036	0.5057423846089981	0.35064935064935066	0.43756243756243757	0.7085029852653874	0.7605014575401818
MA0941.2	ABF2	Basic leucine zipper factors (bZIP)	Group A	cluster_07	0.5086981066527704	0.5219570538358203	0.3246753246753247	0.4725274725274725	0.6958631256384065	0.781699151911918
MA2418.1	IG1	Other C4 zinc finger-type factors	LBD	cluster_24	0.5086839933993405	0.5106962947941955	0.32167832167832167	0.2947052947052947	0.6933349136738968	0.6712242980899698
MA1089.2	WRKY57	GCM domain factors	WRKY	cluster_10	0.5086677088761508	0.6711232565955978	0.3116883116883117	0.24675324675324675	0.6873357856016816	0.6364315296354132
MA1735.2	AT2G38300	Tryptophan cluster factors	GARP_G2-like	cluster_04	0.5086242834809795	0.5050621989330293	0.28771228771228774	0.3826173826173826	0.6713286713286715	0.7390811719925644
