motif_id	tf_name	tf_class	tf_family	jaspar_cluster	auc_roc	auc_prc	p_value_roc	p_value_prc	p_value_roc_adj	p_value_prc_adj
MA2428.1	SPL13B	C3H(C),C2HC zinc-fingers like factors	SBP	cluster_38	0.5041242937853109	0.5093967518259567	0.4645354645354645	0.3756243756243756	0.8072790845518119	0.7129388024910412
MA0937.1	NAC055	GCM domain factors	NAC	cluster_20	0.5037005649717514	0.49647879347327895	0.4945054945054945	0.5784215784215784	0.8300289731960013	0.8730542541937434
MA1334.2	BZIP11	Basic leucine zipper factors (bZIP)	Group S	cluster_14	0.5034180790960454	0.5060573030975338	0.47952047952047955	0.42657342657342656	0.8198290598290598	0.7465034965034965
MA1030.2	P0510F09.23	Tryptophan cluster factors	MYB	cluster_02	0.5033333333333334	0.5805512142214186	0.4825174825174825	0.27172827172827174	0.8198290598290598	0.613398435883643
MA1324.1	GATA20	Other C4 zinc finger-type factors	C4-GATA-related	cluster_13	0.5032768361581923	0.49475050190056963	0.4805194805194805	0.5294705294705294	0.8198290598290598	0.8416375291375291
MA2353.1	PK02532.1	Tryptophan cluster factors	MYB-related	cluster_13	0.503135593220339	0.5867458444050355	0.48151848151848153	0.4515484515484515	0.8198290598290598	0.7622377622377622
MA1802.2	TRP5	Tryptophan cluster factors	MYB-related	cluster_18	0.5030225988700565	0.5199149303938545	0.45754245754245754	0.5704295704295704	0.8006993006993007	0.8667992047713717
MA1169.1	MYB105	Tryptophan cluster factors	Myb	cluster_11	0.5026836158192091	0.5159884419876397	0.4675324675324675	0.3166833166833167	0.8089053803339518	0.6601895372387175
MA2026.2	MYB108	Tryptophan cluster factors	MYB	cluster_02	0.5026553672316385	0.49615827140882135	0.4965034965034965	0.5484515484515484	0.8300289731960013	0.8555729984301413
MA2359.1	PK23829.1	Tryptophan cluster factors	MYB-related	cluster_05	0.5024293785310736	0.5510760898879581	0.46253746253746253	0.6083916083916084	0.8072790845518119	0.8926976869284562
