cluster_id	motif_names	motif_ids
cluster_39	ESRRA,Nr5A2,NR6A1,NR5A1,RORB,RORA,RORC,Nr2e1,NR1I3,Vdr,RORA,NR4A2,NR2C1,NR2C2,NR2F1,NR4A1,Esrrg,ESRRB,Nr1H4,NR2F2,Nr1H2	MA0592.3,MA0505.2,MA1541.1,MA1540.2,MA1150.1,MA0071.1,MA0072.1,MA1151.1,MA0676.1,MA1534.1,MA0693.3,MA0071.1,MA0072.1,MA0160.2,MA1535.1,MA0504.1,MA1536.1,MA0017.2,MA1537.1,MA1538.1,MA1112.2,MA0643.1,MA0141.3,MA1110.2,MA1111.1,MA1996.1
cluster_40	ETV5::FIGLA,TFAP4::FLI1,ERF::FIGLA,ETV2::FIGLA,TFAP4::ETV1	MA1945.1,MA1967.1,MA1934.1,MA1941.1,MA1966.1
cluster_41	POU4F1,POU4F2,POU4F3,BARX2,HNF1A,HNF1B,PBX1,MEIS2,MEIS1,PBX2,ONECUT3,ONECUT1,Lhx3,Pax7	MA0790.1,MA0683.1,MA0791.1,MA1471.1,MA0046.2,MA1991.1,MA0153.2,MA0070.1,MA0774.1,MA1640.1,MA0498.2,MA1639.1,MA1113.2,MA0757.1,MA0679.2,MA0135.1,MA0680.2
cluster_42	ZIM3,IRF3,IRF7,IRF9,IRF4,IRF8,IRF5,Stat2,Irf1,STAT1::STAT2,IRF2,IRF6,ZBED2	MA1709.1,MA1418.1,MA0772.1,MA0653.1,MA1419.1,MA0652.1,MA1420.1,MA1623.1,MA0050.3,MA0517.1,MA0051.1,MA1509.1,MA1971.1
cluster_43	Stat6,BCL6B,BCL6,Stat5b,Stat4,Stat5a::Stat5b,Stat5a,STAT1,STAT3	MA0520.1,MA0731.1,MA0463.2,MA1625.1,MA0518.1,MA0519.1,MA1624.1,MA0137.3,MA0144.2
cluster_44	Nfatc2,Nfat5,Nfatc1,NFATC3,NFATC4,RBPJ,ZNF75D	MA0152.2,MA0606.2,MA0624.2,MA0625.2,MA1525.2,MA1116.1,MA1601.2
cluster_45	SATB1,ZNF384,HOXB13,CDX2,Hoxa13,Hoxd13,CDX1,HOXD9,HOXA10,CDX4	MA1963.1,MA1125.1,MA0901.2,MA0465.2,MA0650.3,MA0909.3,MA0878.3,MA0913.2,MA0899.1,MA1473.1
cluster_46	ZIC1,ZIC4,ZIC5,GLIS2,GLIS3,GLIS1,GLI3	MA0696.1,MA0751.1,MA1584.1,MA0736.1,MA0737.1,MA0735.1,MA1491.2
cluster_47	NR1D1,NR1D2,RARA,Rarb,Nr2F6,Rarg	MA1531.1,MA1532.2,MA0729.1,MA0730.1,MA0857.1,MA0858.1,MA1552.1,MA0677.1,MA0728.1,MA1539.1,MA0859.1,MA0860.1,MA1553.1
cluster_48	MYBL2,MYBL1,OVOL1,OVOL2	MA0777.1,MA0776.1,MA1544.1,MA1545.1
cluster_49	HIC2,Hic1,NFIC,NFIA,NFIX,ZNF416,THAP1	MA0738.1,MA0739.1,MA0161.2,MA1527.1,MA0670.1,MA0671.1,MA1528.1,MA1979.1,MA0597.2
cluster_50	TP53,TP63,TP73	MA0106.3,MA0525.2,MA0861.1
cluster_51	MAFF,Mafb,NRL	MA0495.3,MA0117.2,MA0842.2
cluster_52	GCM1,GCM2	MA0646.1,MA0767.1
cluster_53	ZNF417,E2F1,E2F4,E2F2,E2F3,YY2,TFDP1,E2F6,E2F7,E2F8	MA1727.1,MA0024.3,MA0470.2,MA0864.2,MA0469.3,MA0748.2,MA1122.1,MA0471.2,MA0758.1,MA0865.2
cluster_54	MSANTD3,NKX2-2,NKX2-5,Nkx3-2,Nkx2-1,NKX2-8,NKX2-4,ISL2,NKX2-3,Nkx3-1	MA1523.1,MA1645.1,MA0063.2,MA0122.3,MA1994.1,MA0673.1,MA2003.1,MA0914.1,MA0672.1,MA0124.2
cluster_55	Gfi1B,GFI1	MA0483.1,MA0038.2
cluster_56	OSR1,OSR2,ZNF317,Zic2,Zic1::Zic2,Zic3	MA1542.1,MA1646.1,MA1593.1,MA1629.1,MA1628.1,MA0697.2
cluster_57	ZNF708,ZNF341,ZNF189	MA1730.1,MA1655.1,MA1725.1
cluster_58	THRA,Nr1h3::Rxra,Rarg,THRB	MA1969.1,MA0494.1,MA0859.1,MA0860.1,MA1553.1,MA1574.1,MA1575.1,MA1576.1
cluster_59	PPARG,ESR1,ESR2	MA0066.1,MA0112.3,MA0258.2,UN0308.1
cluster_60	RUNX2,Bcl11B,Runx1,RUNX3	MA0511.2,UN0114.1,MA1989.1,MA0002.2,MA0684.2
cluster_61	RXRA::VDR,NR1I2	MA0074.1,MA1533.1
cluster_62	INSM1,CTCFL,Plagl1,PLAGL2,ZNF692	MA0155.1,MA1102.2,MA1615.1,MA1548.1,MA1986.1
cluster_63	ZNF143,ZNF76	MA0088.2,MA1716.1
cluster_64	Zfp335,Hand1::Tcf3,SMAD2	MA2002.1,MA0092.1,MA1964.1
cluster_65	ZNF135,ZNF460	MA1587.1,MA1596.1
cluster_66	ZKSCAN1,ZNF784	MA1585.1,MA1717.1
cluster_67	Nrf1,TCFL5,ZBTB14	MA0506.2,MA0632.2,MA1650.1
cluster_68	ZNF85,Dux	MA1720.1,MA0611.2
cluster_69	ZBED1,ZBTB33	MA0749.1,MA0527.1
cluster_70	ZNF8,ZNF211	MA1718.1,MA1974.1
cluster_71	ZNF16,ZNF324	MA1654.1,MA1977.1
cluster_72	ZNF136	MA1588.1
cluster_73	ZNF680	MA1729.1
cluster_74	ZNF257,ZKSCAN5	MA1710.1,MA1652.1
cluster_75	NHLH2,ZNF93	MA1529.1,MA1721.1
cluster_76	CTCF,CTCF,CTCF	MA0139.1,MA1929.1,MA1930.1,MA0139.1,MA1929.1,MA1930.1,MA0139.1,MA1929.1,MA1930.1
cluster_77	ZNF610,ZNF574	MA1713.1,MA1982.1
cluster_78	PRDM9,ZNF320	MA1723.1,MA1976.1
cluster_79	Zfx	MA0146.2
cluster_80	ZFP14	MA1972.1
cluster_81	HMBOX1,ZNF652	MA0895.1,MA1657.1
cluster_82	PLAG1	MA0163.1
cluster_83	ZBTB6	MA1581.1
cluster_84	Msgn1,ZFP42,Yy1	MA1524.2,MA1651.1,MA0095.3
cluster_85	Spz1	MA0111.1
cluster_86	ZNF549	MA1728.1
cluster_87	PROX1	MA0794.1
cluster_88	ZNF410	MA0752.1
cluster_89	ZNF282	MA1154.1
cluster_90	EWSR1-FLI1,ZNF24	MA0149.1,MA1124.1
cluster_91	PAX3	MA0780.1,MA1546.1
cluster_92	ZNF449	MA1656.1
cluster_93	Prdm14	MA1998.1
cluster_94	Prdm5	MA1999.1
cluster_95	TBP,ZNF354A	MA0108.2,MA1978.1
cluster_96	ERF::NHLH1	MA1938.1
cluster_97	Arid3a	MA0151.1
cluster_98	ZNF331	MA1726.1
cluster_99	ZNF530	MA1981.1
cluster_100	ZNF701	MA1987.1
cluster_101	Arid5a	MA0602.1
cluster_102	ZFP57	MA1583.1
cluster_103	ZNF528	MA1597.1
cluster_104	ZNF768	MA1731.1
cluster_105	Six3	MA0631.1
cluster_106	Gmeb1	MA0615.1
cluster_107	ZNF675	MA1714.1
cluster_108	Dmbx1	MA0883.1
cluster_109	Prdm15	MA1616.1
cluster_110	Nr2e3,Foxn1	MA0164.1,MA1684.1
cluster_111	ZNF140	MA1589.1
cluster_112	ZNF816	MA1719.1
cluster_113	PRDM1	MA0508.3
cluster_114	ZNF274	MA1592.1
cluster_115	Rhox11	MA0629.1
cluster_116	HINFP	MA0131.2
cluster_117	SRF	MA0083.3
cluster_118	ZNF214	MA1975.1
cluster_119	Tfcp2l1	MA0145.2
cluster_120	GATA1::TAL1	MA0140.2
