	MA0260.1	MA0261.1	MA0262.1	MA0263.1	MA0264.1	MA0537.1	MA0538.1	MA0540.1	MA0541.1	MA0542.1	MA0543.1	MA0544.1	MA0545.1	MA0546.1	MA0547.1	MA0918.1	MA0919.1	MA0920.1	MA0921.1	MA0922.1	MA0923.1	MA0924.1	MA0925.1	MA0926.1	MA0927.1	MA0928.1	MA1438.1	MA1439.1	MA1440.1	MA1441.1	MA1442.1	MA1443.1	MA1444.1	MA1445.1	MA1446.1	MA1448.1	MA1449.1	MA1450.1	MA1451.1	MA1699.1	MA1701.1	MA1703.1	MA1704.1
MA0927.1	1.0	1.0	1.0	0.200946	1.0	1.0	1.0	1.0	1.0	0.46901	1.0	1.0	1.0	1.0	1.0	1.0	0.000127371	0.516896	1.0	0.46901	7.59469e-05	0.0206794	1.0	1.0	6.14481e-20	0.000125337	1.0	0.322375	1.0	0.0379996	0.00099054	0.337201	0.57146	1.0	1.0	1.0	1.0	0.57146	1.0	1.0	0.57146	0.395511	1.0
MA0928.1	1.0	1.0	1.0	0.340733	0.520803	1.0	1.0	1.0	1.0	0.384496	1.0	1.0	1.0	1.0	1.0	1.0	0.000167472	0.719912	0.520407	0.520407	0.000382116	0.0490086	1.0	1.0	0.000879057	4.33602e-22	1.0	0.505133	1.0	0.00636254	0.00132713	0.329443	1.0	1.0	0.342676	1.0	1.0	0.832654	1.0	1.0	0.590342	0.153418	1.0
MA1438.1	0.999782	0.999782	0.999782	0.999782	0.776118	0.999782	0.999782	0.999782	0.999782	0.776118	0.999782	0.776118	0.999782	0.999782	0.216829	0.101825	0.999782	0.999782	0.999782	0.196392	0.999782	0.999782	0.999782	0.999782	0.999782	0.999782	1.86381e-22	0.456065	0.999782	0.999782	0.999782	0.999782	0.776118	0.999782	0.999782	0.776118	0.00629493	0.999782	0.196392	0.999782	0.999782	0.672487	5.62788e-06
MA1439.1	0.999996	0.854921	0.999996	0.999996	0.999996	0.537706	0.999996	0.999996	0.999996	0.00289959	0.919493	0.999996	0.90706	0.999996	0.147878	0.324955	0.202941	0.485195	0.537706	0.66125	0.202941	0.585972	0.760091	0.999996	0.324955	0.641941	0.66125	1.26435e-16	0.66125	0.641941	0.630894	0.202941	0.66125	0.66125	0.641941	0.999996	0.585972	0.999996	0.999996	0.762459	0.00706813	0.000210246	0.66125
MA1440.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.902627	1.0	1.0	1.0	0.0404867	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.64862e-19	1.0	1.0	1.0	1.0	1.0	0.977566	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
MA1441.1	1.0	1.0	1.0	0.877928	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.00425442	1.0	0.497565	0.344108	0.00315972	0.233927	1.0	1.0	0.049625	0.00315972	1.0	1.0	1.0	1.38753e-28	0.049625	0.319827	0.443461	1.0	0.957188	1.0	1.0	1.0	1.0	1.0	1.0	0.497565	1.0
MA1442.1	1.0	1.0	1.0	0.496818	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.00620365	1.0	1.0	0.496818	0.00620365	0.0196516	1.0	1.0	0.00620365	0.00466352	1.0	1.0	1.0	0.0789354	2.8252e-19	0.688593	0.963005	1.0	1.0	1.0	1.0	0.963005	1.0	0.966425	1.0	1.0	1.0
MA1443.1	0.480693	0.999998	0.999998	0.999998	0.999998	0.999998	0.999998	0.999998	0.999998	0.480693	0.999998	0.999998	0.999998	0.999998	0.815688	0.999998	0.474813	0.480693	0.999998	0.480693	0.474813	0.818502	0.999998	0.999998	0.474813	0.474813	0.999998	0.474813	0.999998	0.474813	0.474813	9.04063e-17	0.815688	0.815688	0.86868	0.999998	0.999998	0.815688	0.999998	0.927298	0.480693	0.480693	0.999998
MA1444.1	0.999999	0.999999	0.524902	0.999999	0.999999	0.999999	0.999999	0.999999	0.999999	0.999999	0.999999	0.999999	0.999999	0.999999	0.999999	0.999999	0.999999	0.999999	0.999999	0.0896218	0.999999	0.356626	0.999999	0.999999	0.999999	0.999999	0.999999	0.999999	0.999999	0.863195	0.999999	0.999999	5.4651e-32	0.999999	0.999999	0.999999	0.999999	0.863195	0.999999	0.999999	0.999999	0.999999	0.322475
MA1445.1	0.999998	0.999998	0.999998	0.999998	0.999998	0.999998	0.999998	0.999998	0.999998	0.999998	0.999998	0.999998	0.999998	0.999998	0.999998	0.999998	0.999998	0.999998	0.0423868	0.999998	0.999998	0.999998	0.999998	0.585577	0.999998	0.999998	0.999998	0.999998	0.999998	0.999998	0.999998	0.999998	0.999998	1.86548e-19	0.999998	0.999998	0.999998	0.999998	0.999998	0.0423868	0.999998	0.999998	0.999998
MA1446.1	1.0	0.427365	1.0	1.0	1.0	1.0	0.427365	1.0	1.0	1.0	1.0	1.0	1.0	0.00815827	1.0	0.867206	0.427365	0.000649837	1.0	1.0	0.551325	0.427365	0.208843	1.0	0.929752	0.427365	1.0	0.427365	0.208843	0.468738	1.0	0.631342	1.0	1.0	1.3116200000000001e-30	1.0	1.0	1.0	1.0	1.0	0.954341	0.427365	1.0
MA1448.1	0.9935	0.9935	0.9935	0.9935	0.9935	0.9935	0.9935	0.9935	0.9935	0.9935	0.9935	0.9935	0.9935	0.9935	0.9935	0.9935	0.9935	0.9935	0.9935	0.9935	0.9935	0.9935	0.9935	0.9935	0.9935	0.9935	0.9935	0.9935	0.9935	0.9935	0.9935	0.9935	0.9935	0.9935	0.9935	1.76171e-09	0.9935	0.9935	0.9935	0.9935	0.9935	0.9935	0.9935
MA1449.1	0.99845	0.99845	0.99845	0.99845	0.0191129	0.99845	0.99845	0.99845	0.701204	0.99845	0.99845	0.99845	0.120131	0.99845	0.99845	0.700992	0.99845	0.99845	0.99845	0.700992	0.99845	0.99845	0.99845	0.99845	0.99845	0.99845	0.00598078	0.99845	0.99845	0.99845	0.99845	0.99845	0.701204	0.99845	0.99845	0.99845	3.6434e-28	0.99845	0.99845	0.99845	0.99845	0.99845	0.0272795
MA1450.1	1.0	1.0	1.0	1.0	0.926662	0.926662	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.926662	1.0	1.0	1.0	0.926662	0.988221	1.0	0.926662	1.0	0.926662	1.0	1.0	1.0	0.926662	0.926662	1.0	0.926662	1.0	1.0	1.0	1.0	1.75542e-36	1.0	0.998853	1.0	1.0	1.0
MA1451.1	0.999972	0.999972	0.999972	0.999972	0.999972	0.999972	0.999972	0.999972	0.999972	0.999972	0.999972	0.999972	0.999972	0.999972	0.999972	0.95948	0.999972	0.999972	0.999972	0.999972	0.999972	0.999972	0.999972	0.999972	0.999972	0.999972	0.95948	0.999972	0.999972	0.999972	0.999972	0.999972	0.999972	0.999972	0.999972	0.999972	0.999972	0.999972	1.33965e-10	0.999972	0.999972	0.999972	0.999972
MA1699.1	1.0	1.0	1.0	1.0	1.0	0.641322	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.248912	1.0	1.0	1.0	1.0	0.841864	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.048413	1.0	1.0	1.0	1.0	1.0	3.85474e-36	1.0	1.0	1.0
MA1701.1	1.0	1.0	1.0	1.0	1.0	0.68704	1.0	1.0	1.0	0.000737119	0.919746	1.0	1.0	1.0	0.378602	0.496957	0.421112	0.919378	0.900848	1.0	0.551254	0.692343	1.0	1.0	0.421112	0.598354	1.0	0.00346516	0.68704	0.68704	1.0	0.378602	1.0	1.0	0.972408	1.0	1.0	1.0	1.0	0.900848	6.89751e-20	0.00177102	1.0
MA1703.1	0.99987	0.99987	0.99987	0.99987	0.99987	0.542559	0.99987	0.99987	0.99987	0.000979695	0.853601	0.99987	0.9286	0.969375	0.166899	0.152685	0.152685	0.542559	0.217563	0.958862	0.217132	0.542967	0.542967	0.99987	0.203957	0.152685	0.542967	0.000208101	0.958862	0.237651	0.510096	0.265132	0.99987	0.582865	0.265132	0.99987	0.99987	0.99987	0.99987	0.582865	0.00133672	2.09239e-27	0.99987
MA1704.1	0.999914	0.999914	0.999914	0.999914	0.936912	0.999914	0.999914	0.999914	0.549328	0.999914	0.999914	0.806657	0.999914	0.999914	0.143471	0.0900948	0.999914	0.999914	0.999914	0.0614264	0.999914	0.936912	0.999914	0.999914	0.999914	0.999914	1.67413e-05	0.999914	0.999914	0.936912	0.999914	0.999914	0.0683563	0.999914	0.999914	0.549328	0.0352922	0.999914	0.195513	0.999914	0.999914	0.999914	1.08227e-26
